incident_name,incident_date_created,incident_county,incident_type,incident_dateonly_created
Toro Fire,2013-11-08T10:30:00Z,San Luis Obispo,,11/8/2013
Cantwell Fire,2013-11-08T13:42:00Z,Lake,,11/8/2013
Wheeler Fire,2013-11-14T11:05:00Z,Ventura,,11/14/2013
Silverado Fire,2013-11-21T21:39:00Z,Napa,,11/21/2013
Retek Fire,2013-11-22T10:06:00Z,Mendocino,,11/22/2013
McCabe Fire,2013-11-22T02:04:00Z,Sonoma,,11/22/2013
Bruner Fire,2013-11-23T12:04:00Z,Lake,,11/23/2013
Dam Fire,2013-11-23T14:17:00Z,Lake,,11/23/2013
Grant Fire,2013-12-31T05:30:00Z,Santa Clara,,12/31/2013
Campbell Fire,2014-01-02T20:00:00Z,Tehama,,1/2/2014
Red Fire,2014-01-04T12:00:00Z,Humboldt,,1/4/2014
Colby Fire,2014-01-16T05:50:00Z,Los Angeles,,1/16/2014
Lake Fire,2014-01-25T06:37:00Z,Fresno,,1/25/2014
Gun Fire,2014-03-08T12:30:00Z,San Diego,,3/8/2014
Encinal Fire,2014-03-19T16:45:00Z,Monterey,,3/19/2014
Van Buren Fire,2014-03-28T14:31:00Z,Riverside,,3/28/2014
Bridges Fire,2014-04-19T15:54:00Z,Inyo,,4/19/2014
Etiwanda Fire,2014-04-30T08:00:00Z,San Bernardino,,4/30/2014
San Lucas Fire,2014-04-30T14:25:00Z,Monterey,,4/30/2014
Jacumba Fire,2014-05-05T16:36:00Z,San Diego,,5/5/2014
Bernardo Fire,2014-05-13T11:00:00Z,San Diego,,5/13/2014
Miguelito Fire,2014-05-13T14:00:00Z,Santa Barbara,,5/13/2014
Tomahawk Fire,2014-05-14T09:45:00Z,San Diego,,5/14/2014
Highway Fire,2014-05-14T13:00:00Z,San Diego,,5/14/2014
Fiddler Fire,2014-05-14T14:00:00Z,Shasta,,5/14/2014
Cocos Fire,2014-05-14T16:00:00Z,San Diego,,5/14/2014
Poinsettia Fire,2014-05-14T10:30:00Z,San Diego,,5/14/2014
San Mateo Fire,2014-05-16T11:24:00Z,San Diego,,5/16/2014
Indian Fire,2014-05-25T12:20:00Z,Lake,,5/25/2014
59 Fire,2014-06-04T11:45:00Z,Tuolumne,,6/4/2014
Hetch Hetchy Fire,2014-06-05T13:04:00Z,Tuolumne,,6/5/2014
Morgan Fire,2014-06-09T15:15:00Z,Fresno,,6/9/2014
Haigh Fire,2014-06-10T15:11:00Z,Mariposa,,6/10/2014
Hall Fire,2014-06-11T07:30:00Z,Fresno,,6/11/2014
Norman Fire,2014-06-12T14:29:00Z,Solano,,6/12/2014
Shirley Fire,2014-06-13T17:00:00Z,Kern,,6/13/2014
Tehama Fire,2014-06-13T12:23:00Z,Tehama,,6/13/2014
Reed Fire,2014-06-20T15:27:00Z,Calaveras,,6/20/2014
Oak Fire,2014-06-22T12:37:00Z,Calaveras,,6/22/2014
Butts Fire,2014-07-01T12:08:00Z,"Napa, Lake",,7/1/2014
Modoc Lightning Complex,2014-07-01T19:00:00Z,Modoc,,7/1/2014
West Fire,2014-07-01T03:45:00Z,Trinity,,7/1/2014
Gulch Fire,2014-07-03T15:46:00Z,Modoc,,7/3/2014
Banner Fire,2014-07-03T10:43:00Z,San Diego,,7/3/2014
Monticello Fire,2014-07-04T21:32:00Z,Yolo,,7/4/2014
Cassel Fire,2014-07-05T18:44:00Z,Shasta,,7/5/2014
Interlake Fire,2014-07-07T16:12:00Z,San Luis Obispo,,7/7/2014
Hutto Fire,2014-07-07T16:35:00Z,Nevada,,7/7/2014
Bible Fire,2014-07-09T14:34:00Z,El Dorado,,7/9/2014
Dry Fire,2014-07-09T13:45:00Z,Shasta,,7/9/2014
Bully Fire,2014-07-11T15:37:00Z,Shasta,,7/11/2014
Marsh Fire,2014-07-11T21:57:00Z,Contra Costa,,7/11/2014
Nicolls Fire ,2014-07-11T13:46:00Z,Kern,,7/11/2014
Wildlife Fire,2014-07-14T18:00:00Z,Butte,,7/14/2014
Sand Fire,2014-07-25T16:34:00Z,"Amador, El Dorado",Wildfire,7/25/2014
Bald Fire,2014-07-30T20:15:00Z,Shasta,,7/30/2014
Day Fire,2014-07-30T19:01:00Z,Modoc,,7/30/2014
Oregon Gulch Fire (part of the Beaver Complex),2014-07-30T23:00:00Z,Siskiyou,,7/30/2014
Coffee Fire,2014-07-30T20:30:00Z,Shasta,,7/30/2014
Eiler Fire,2014-07-31T18:04:00Z,Shasta,,7/31/2014
Little Deer Fire,2014-07-31T17:45:00Z,Siskiyou,,7/31/2014
Happy Camp Complex,2014-08-11T22:00:00Z,Siskiyou,,8/11/2014
Little Fire,2014-08-12T15:00:00Z,Modoc,,8/12/2014
Shoemaker Fire,2014-08-14T12:48:00Z,Los Angeles,,8/14/2014
Border Fire,2014-08-16T16:22:00Z,San Diego,,8/16/2014
Tecolote Fire,2014-08-17T14:30:00Z,Los Angeles,,8/17/2014
Junction Fire,2014-08-18T13:50:00Z,Madera,,8/18/2014
Boca Fire,2014-08-18T10:00:00Z,Nevada,,8/18/2014
Way Fire,2014-08-18T14:30:00Z,Kern,,8/18/2014
Oregon Fire,2014-08-24T16:36:00Z,Trinity,,8/24/2014
Pines Fire,2014-08-26T16:23:00Z,Madera,,8/26/2014
Leopard Fire,2014-08-29T12:21:00Z,Shasta,,8/29/2014
Jackson Fire,2014-09-04T11:51:00Z,Tuolumne,,9/4/2014
Gulch Fire,2014-09-10T00:30:00Z,Shasta,,9/10/2014
Stage Coach Fire,2014-09-11T15:14:00Z,Napa,,9/11/2014
Bald Hill 3 Fire,2014-09-12T15:00:00Z,Humboldt,,9/12/2014
Silverado Fire,2014-09-12T10:30:00Z,Orange,,9/12/2014
King Fire,2014-09-13T16:32:00Z,El Dorado,,9/13/2014
Dog Bar Fire,2014-09-13T14:07:00Z,Nevada,,9/13/2014
Courtney Fire,2014-09-14T13:36:00Z,Madera,,9/14/2014
Irene Fire,2014-09-14T09:15:00Z,El Dorado,,9/14/2014
Boles Fire,2014-09-15T13:38:00Z,Siskiyou,,9/15/2014
Cascade Fire,2014-09-25T18:00:00Z,El Dorado,,9/25/2014
Dog Rock Fire,2014-10-07T15:05:00Z,Mariposa,,10/7/2014
Bane Fire,2014-10-16T14:34:00Z,San Bernardino,,10/16/2014
Stephens Fire,2015-02-24T12:15:00Z,Siskiyou,,2/24/2015
Ward Fire,2015-04-13T05:30:00Z,Plumas,,4/13/2015
Highway Fire,2015-04-18T18:12:00Z,Riverside,,4/18/2015
Forebay Fire,2015-05-11T10:26:00Z,Merced,,5/11/2015
Bald Fire,2015-06-10T07:42:00Z,Humboldt,,6/10/2015
Saddle Fire ,2015-06-10T15:00:00Z,Trinity,,6/10/2015
Pass Fire,2015-06-15T15:46:00Z,Kern,,6/15/2015
Chiles Fire,2015-06-16T14:27:00Z,Napa,,6/16/2015
North Fire,2015-06-16T16:42:00Z,Amador,,6/16/2015
Fork Fire,2015-06-17T12:50:00Z,Tehama,,6/17/2015
Wildcat Fire,2015-06-17T17:03:00Z,San Diego,,6/17/2015
Lake Fire,2015-06-17T15:52:00Z,San Bernardino,,6/17/2015
Cook Fire,2015-06-18T13:07:00Z,Yuba,,6/18/2015
Corrine Fire,2015-06-18T21:00:00Z,Madera,,6/18/2015
Dixie Fire,2015-06-19T16:15:00Z,Lassen,,6/19/2015
Washington Fire,2015-06-19T19:00:00Z,Alpine,,6/19/2015
Red Fire,2015-06-21T12:08:00Z,Madera,,6/21/2015
Loma Fire,2015-06-24T16:15:00Z,,,6/24/2015
Calgrove Fire ,2015-06-24T13:22:00Z,Los Angeles,,6/24/2015
Sterling Fire,2015-06-25T18:30:00Z,San Bernardino,,6/25/2015
Otay Fire,2015-06-26T16:06:00Z,San Diego,,6/26/2015
Pleasure Fire,2015-06-27T12:51:00Z,Napa,,6/27/2015
Covelo Fire,2015-06-28T13:30:00Z,Mendocino,,6/28/2015
Black Fire,2015-07-04T16:33:00Z,Tehama,,7/4/2015
Soda Fire,2015-07-04T15:30:00Z,Mendocino,,7/4/2015
Sky Fire,2015-07-06T10:47:00Z,Solano,,7/6/2015
Keswick Fire,2015-07-07T12:34:00Z,Shasta,,7/7/2015
Ascot Fire,2015-07-10T13:36:00Z,Solano,,7/10/2015
Deer Fire,2015-07-10T12:41:00Z,San Luis Obispo,,7/10/2015
Mill 2 Fire,2015-07-12T14:46:00Z,San Bernardino,,7/12/2015
Spider Fire,2015-07-12T13:52:00Z,Riverside,,7/12/2015
241 Fire,2015-07-13T10:47:00Z,Orange,,7/13/2015
Cooley Fire,2015-07-13T17:56:00Z,Siskiyou,,7/13/2015
Lake Fire,2015-07-16T11:30:00Z,San Diego,,7/16/2015
North Fire,2015-07-17T14:33:00Z,San Bernardino,,7/17/2015
Pines Fire ,2015-07-17T21:30:00Z,Los Angeles,,7/17/2015
Cabin Fire,2015-07-19T08:00:00Z,Tulare,,7/19/2015
Betabel Fire,2015-07-20T13:23:00Z,San Benito,,7/20/2015
Triple Fire,2015-07-21T12:35:00Z,Tulare,,7/21/2015
Dorris Fire,2015-07-21T17:00:00Z,Siskiyou,,7/21/2015
Wragg Fire,2015-07-22T14:24:00Z,,,7/22/2015
Baxter Fire,2015-07-22T18:17:00Z,Placer,,7/22/2015
Kyburz Fire,2015-07-23T14:00:00Z,El Dorado,,7/23/2015
3-11 Fire,2015-07-23T16:40:00Z,Modoc,,7/23/2015
3-12 Fire,2015-07-23T17:30:00Z,Modoc,,7/23/2015
Cutca Fire,2015-07-24T16:18:00Z,San Diego,,7/24/2015
Park Fire,2015-07-24T12:43:00Z,San Diego,,7/24/2015
Queen Fire,2015-07-24T23:00:00Z,Humboldt,,7/24/2015
Lowell Fire,2015-07-25T14:37:00Z,Nevada,,7/25/2015
Willow Fire,2015-07-25T14:30:00Z,Madera,,7/25/2015
